18597,3
18967,2
3594,1
10083,3
14528,3
15884,2
16003,3
3151,2
7903,1
8337,1
11838,3
1063,3
10129,2
6031,3
18834,3
16873,2
575,1
18059,2
15918,3
6605,2
3621,2
6763,2
11849,2
18636,1
9907,1
11005,3
11527,3
13371,3
2386,2
4560,2
2650,2
14394,3
19584,1
946,1
5203,3
8582,2
6993,2
10199,3
6877,1
10760,3
4073,3
11382,3
14949,3
14465,3
14168,1
9224,3
3081,1
1242,2
18105,2
19557,1
2929,3
17418,2
18831,2
4486,2
19900,2
18804,3
10457,3
14187,2
13297,3
13459,3
2289,3
3606,3
6501,2
5628,3
18365,1
6607,1
19371,2
10745,3
15532,2
16925,2
10824,1
11231,3
1970,2
5814,1
14624,2
14235,1
3080,2
15517,2
16609,1
18050,1
10600,2
11858,2
3687,1
1402,3
5669,3
7982,2
9578,1
9016,2
5569,3
4251,2
10665,3
458,1
2455,2
1310,2
19478,3
13056,3
6574,3
3937,1
13823,2
8391,1
7582,3
5543,2
8749,2
11789,2
12425,3
12954,1
18810,1
18896,1
18409,1
19041,1
15075,3
468,1
13654,3
6084,3
14831,2
5288,2
9953,3
5889,2
19229,3
4858,2
13414,3
13403,1
10827,2
11276,3
1318,2
7171,2
5692,1
5139,2
17203,2
18052,3
17555,3
8202,2
16905,3
9569,3
18867,3
7046,3
10266,2
13905,3
18113,3
16337,1
15423,3
15849,2
11274,3
9329,1
15688,3
8183,3
10023,1
8903,1
14605,3
569,2
10690,3
2003,2
10177,1
16969,2
8414,3
15922,2
16234,2
15989,3
5802,3
13865,3
3561,2
4530,2
18171,3
2114,1
1657,3
988,3
17177,3
18426,3
18676,1
15274,3
18150,2
12125,2
6649,1
1096,1
17963,2
12831,3
15816,2
17032,3
19622,2
17330,2
10409,1
5625,2
4642,1
2996,1
18039,1
6494,3
10088,3
5973,3
17141,3
12824,1
12766,3
12345,2
10275,3
11783,1
7777,1
9751,3
15303,1
9947,3
6226,3
15510,2
16744,2
18509,3
4846,2
10427,3
8256,3
10193,2
15156,1
13890,3
15553,2
7400,3
7315,3
7198,2
10198,2
8179,1
15114,3
13609,3
13614,2
10304,1
4998,2
9854,2
10669,3
3537,3
17058,2
5993,2
19494,3
13782,1
3079,3
856,1
15985,1
6764,3
12432,3
5984,3
11305,3
11272,3
16540,2
17911,3
6790,2
11190,1
17068,2
13127,1
19500,2
11571,3
17073,2
4866,3
6424,2
13381,1
17303,1
3150,2
17958,2
9827,3
11752,2
888,3
3138,2
9938,3
11707,2
18812,1
3737,1
5231,3
15040,2
13744,1
11430,3
11803,1
10210,3
17875,3
14403,3
14969,2
17399,1
15699,3
6703,2
9285,3
3359,1
5546,2
14558,3
8318,2
5359,1
5769,1
16942,1
10720,2
10818,3
5656,2
467,3
600,1
14796,3
6470,3
1313,3
766,2
11983,3
15679,3
502,2
9885,3
11314,2
12403,3
13721,3
17235,3
16265,3
16494,2
13917,3
450,1
4575,2
18757,2
3131,2
2191,3
10872,3
6951,3
2909,3
563,1
18330,3
